Period,Nationality,Level,Composer,Piece Name,Book's name,future,time,future,14,13,12,11,10,09,08,07,06,05,04,03,02,01,00,99,98,97,96,95,94,93
22 USA,American ,Senior,Adler,Some Minimal Fun,,,,,,,,,,,,,usSR,,,,,,,,,,,,,
23 Pedagogy,Russian,Elementary,Aglintsova,Russian Song in A Minor,"Guild Repertoire Elementary A & B, Alfred AP. 0639, p.44 (16 bars)",,,,,,,4cELE5,,,,,,,,,,,,,,,,,,
18 Impressionist,Spanish ,,Albeniz,Orientale in D Minor,"51 Piano Pieces from the Modern Repertoire, Schirmer HL.50327580, p.143-148",,,,,,,,,,,,,,,,,,,,,,,,,
18 Impressionist,Spanish ,Advanced,Albeniz,Tango Op.164 #2 ,,,,,,,,,,,,,,,cADV,,,,,,,,,,,
23 Pedagogy,American,Elementary,Alt,Children's Dance,,,,,,,,,,,1D,,,,,,,,,,,,,,,
23 Pedagogy,American,Elementary,Alt,Elephants Walking,,,,,,,,,,,,usELE,,,,,,,,,,,,,,
23 Pedagogy,American,Elementary,Alt,Quarrel of Three Chickens,,,,,,,,,,,,usELE,,,,,,,,,,,,1D,,
22 USA,American,Junior,Anderson,Somewhere near Cluj,,,,,,,,,,,,,cJR,,,,,,,,,,,,,
15 Late Classical,German ,Duet Ele,Andre,Sonatina Op.45 #3 in F Major,"Six Sonatinas, Alfred, AP.10151, p.12-13, 22 bars, no repeats (Duet)",,,,,91duELE,,,,,,,,,,,,,,,,,,,,
22 USA,American,Intermediate,Antheil,Dog & Cat Polka,,,,,,,,,,,,,,,,cINT,,,,,,,,,,
22 USA,American,Junior,Antheil,Winter Lullaby,,,,,,,,,,,,,,,,cJR,,,,,,,,,,
24 Chinese,Chinese,Senior,An-Wang,Siblings Reclaim Wasteland 兄妹开荒,"Selection from Chinese Classical Music for Piano 2, ShiDaiWenYi Publishing House, ISBN , 中国钢琴名曲曲库2, 时代文艺出版社,p.104-111",,,,,,,6chSR3,,chiSR,,,,,,,,,,,,,,,,
23 Pedagogy,English ,Elementary,Arnold,Gigue in C Major,,,,,,,,,,,,,,,,,,,2A,,,,,,,
22 USA,American,Junior,Artur,Op.6 #1 The Goldfish in C Major ,Pieces for the Youth,,,,,,,5usJR1,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.6 #2 Pirate Dance ,Pieces for the Youth,,,,,,,5usJR2,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.6 #3 Snow in a Village in C Minor ,Pieces for the Youth,,,,,,,5usJR3,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.7 #6 Melody,Pieces for the Youth,,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.7 #3 Simple Waltz,Pieces for the Youth (48 bars),,,,,,52usJR6,,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Diversion,"Pieces for the Youth, Op.7, #1 (29bars)",,,,,,52usJR4,,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Choo-choo Trains,"Pieces for the Youth, Op.7, #2 (62 bars)",,,,,,52usJR5,,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.3 #1 Tremors in C Minor,,,,,,,,,,usJR,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.3 #2 Lullaby in D Major ,,,,,,,,,,usJR,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.3 #3 Rain Clouds in G Minor,,,,,,,,,,usJR,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.3 #4 Gremlin Dance in G Minor ,,,,,,,,,,usJR,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.3 #5 Shadow Waltz in A Minor,,,,,,,,,,usJR,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.3 #6 Ducklings Crossing in B ,,,,,,,,,,usJR,,,,,,,,,,,,,,,,
22 USA,American,Junior,Artur,Op.5 #1 Prelude in D Flat Major ,,,,,,,,,4D,,,,,,,,,,,,,,,,,
22 USA,American,Elementary,Austin,Shadow Tag,"Splattered with Fun!, Willis Music HL.406284, P.10-11 (E Minor)",usELE2,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Junior,Austin,Midnight Chase,"Splattered with Fun!, Willis Music HL.406284, P.13 with Repeat total 20 bars (F Minor)",,,,62usJR1,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Elementary,Austin,A Sunny Day,"Splattered with Fun!, Willis Music HL.406284, P.16, total 16 bars (A Major)",usELE3,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Elementary,Austin,Autumn Morning,"Splattered with Fun!, Willis Music HL.406284, P.17 with repeats total 20 bars (A Minor)",usELE4,,,,,,,,,,,,,,,,,,,,,,,,
22 USA,American,Elementary,Austin,Procession,"Splattered with Fun!, Willis Music HL.406284, P.7 with repeat, total 24 bars (D Minor)",usELE1,,,,,,,,,,,,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #3 BWV 774 in D Major,"Bach Invention - Sinfonia G.Henle #HN64, HL.51480064, p.6-7",,2,,,13bINT1,,,,,,,,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #13 BWV 799 in A Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, ",,,13,,,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #14 BWV 800 in B Flat Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, ",,,13,,,,,,,,,bSR,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #5 BWV 776 in E Flat Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.10-11",,2,,,13bINT2,,,,,,,,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #6 BWV 777 in E Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.12-13",,,14,,,13bINT4,,,,,bINT,,,,bSR,,,,bSR,,,,,,
04 Invention,German,Intermediate,Bach,Invention #7 BWV 778 in E Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.14-15",,2,,,13bINT3,,,,,,,,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #8 BWV 779 in F Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.16-17",,,14,,,13bINT5,,,,,bINT,,5A,,bSR,,,5A,bSR,,4A,,,,
04 Invention,German,Intermediate,Bach,Invention #9 BWV 780 in F Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.18-19",,,14,,,13bINT6,,,,,bINT,,,,bSR,,,,bSR,,,,,,
04 Invention,German,Intermediate,Bach,Invention #10 BWV 781 in G Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.20-21",,2,,,13bINT4,,,,,,bINT,,,,bSR,,,,bSR,,,,,,
4 Invention,German,Intermediate,Bach,Invention #11 BWV 782 in G Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, P.22-23",,,,13bINT1,,,,,,,,,,,,,,,,,,,,,
4 Invention,German,Intermediate,Bach,Invention #1 BWV 772 in C Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.2-3",,,14,,,13bINT1,,,,,bINT,,,,bSR,,,,bSR,,,,,,
4 Invention,German,Intermediate,Bach,Invention #12 BWV 783 in A Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, P.24-25",,,,13bINT2,,,,,,,,,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #13 BWV 784 in A Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, P.26-27",,,14-5A,13bINT3,,,,,,,bINT,,6A,,bSR,,6A,,bSR,,,,6A,,
04 Invention,German,Intermediate,Bach,Invention #14 BWV 785 in B Flat Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.28-29",,2,,,13bINT5,,,,,,bINT,,,,bSR,,,,bSR,,,,,,
04 Invention,German,Intermediate,Bach,Invention #15 BWV 786 in B Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.30-31",,2,,,13bINT6,,,,,,bINT,,,,bSR,6A,,,bSR,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #1 BWV 787 in C Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.32-33",,2,,,14bSR1,,,,,,,,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #2 BWV 788 in C Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.34-35",,,13bSR,,,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #3 BWV 789 in D Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.36-37",,2,,,14bSR2,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #5 BWV 791 in E Flat Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.42-43",,,13bSR,,,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #6 BWV 792 in E Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.44-45",,2,,,14bSR3,,,,,,,bSR,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #2 BWV 773 in C Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.4-5",,,14,,,13bINT2,,,,,bINT,,,,bSR,,,,bSR,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #8 BWV 794 in F Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.48-49",,,13bSR,,,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #10 BWV 796 in G Major,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.52-53",,2,,,14bSR4,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #11 BWV 797 in G Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.54-55",,3,,,14bSR5,,,,,,,bSR,,,,,,,,,,,,,
07 Sinfonia,German,Senior,Bach,Sinfonia #15 BWV 801 in B Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.62-63",,2,,,14bSR6,,,,,,,bSR,,,,,,,,,,,,,
04 Invention,German,Intermediate,Bach,Invention #4 BWV 775 in D Minor,"Bach Invention - Sinfonia Henle #HN64, HL.51480064, p.8-9",,,14,,,13bINT3,,,,,bINT,,,,bSR,,,,bSR,,,,,,
08 Partita,German,Senior,Bach,"Partita I BWV 825, Gigue in B Flat Major","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,bADV,,,,,7A,,,,,6A
08 Partita,German,Intermediate,Bach,"Partita I BWV 825, Praeludium in B Flat Major","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,1bINT2,bSR,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita I BWV 825, Sarabande in B Flat Major","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita II BWV 826, Capriccio in C Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bADV,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita II BWV 826, Rondeaux in C Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,bADV,,,,,,7A,,,,
08 Partita,German,Senior,Bach,"Partita II BWV 826, Sinfonia in C Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,,,,8A,,,,bADV,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita III BWV 827, Allemande in A Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita III BWV 827, Fantasia in A Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita III BWV 827, Gigue in A Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bADV,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita IV BWV 828, Gigue in D Major","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bADV,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita IV BWV 828, Overture in D Major","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bADV,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita V BWV 829, Allemande in G Major","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita VI BWV 830, Corrente in E Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bSR,,,,,,,,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita VI BWV 830, Gigue in E Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bADV,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita VI BWV 830, Toccata in E Minor","Bach Six Partitas,Henle #HN28, HL.51480028",,,,,,,,bADV,,,,,,,bADV,,,,,,,,,,
08 Partita,German,,Bach,"Partita V BWV 829, Sarabande in G Major","Bach Six Partitas,Henle #HN28, HL.51480028 Bach Six Partitas, p.82-83",,,,,,,,,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita VI BWV 830, Sarabande in E Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.105-107",,,,,,,1bSR6,,,,,,,,,,,,,,,,,,
08 Partita,German,Intermediate,Bach,"Partita I BWV 825, Menuet I & II in B Flat Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.14-15,(do not repeat Menuet I)",,,,,,,1bINT1,,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita II BWV 826, Allemande in C Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.24-27",,,,,,,1bSR2.1,,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita II BWV 826, Courante in C Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.24-27",,,,,,,1bSR2.2,,,,,,,,,,,,,,,,,,
08 Partita,German,Intermediate,Bach,"Partita II BWV 826, Sarabande in C Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.28-29",,,,,,,1bINT2,,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita III BWV 827, Burlesca in A Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.41-43,45-47",,,,,,,1bSR3.2,,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita III BWV 827, Courante in A Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.41-43,45-47",,,,,,,1bSR3.1,,,,,,,,,,,,,,,,,,
08 Partita,German,Intermediate,Bach,"Partita III BWV 827, Scherzo in A Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.47-48",,,,,,,1bINT3,,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita IV BWV 828, Allemande in D Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.60-63",,,,,,,1bSR4,,,,,,,,,,,,,,,,,,
08 Partita,German,,Bach,"Partita IV BWV 828, Courante in D Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.64-65",,,,,,,,,,,,,,,,,,,,,,,,,
08 Partita,German,Intermediate,Bach,"Partita IV BWV 828, Aria in D Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.66-67",,,,,,,1bINT4,,,,,,,,,,,,,,,,,,
08 Partita,German,,Bach,"Partita IV BWV 828, Sarabande in D Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.68-69",,,,,,,,,,,,,,,,,,,,,,,,,
08 Partita,German,,Bach,"Partita IV BWV 828, Menuet in D Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.70",,,,,,,,,,,,,,,,,,,,,,,,,
08 Partita,German,Advanced,Bach,"Partita V BWV 829, Praeambulum in G Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.74-77",,,,,,,,bADV,,,,,,,bADV,,,,8A,,,,7A,,
08 Partita,German,Intermediate,Bach,"Partita V BWV 829, Corrente in G Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.80-81",,,,,,,1bINT5,,,,,,,,,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita I BWV 825, Allemande & Corrente in B Flat Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.8-11",,,,,,,1bSR1,,,,,,,,,,,,,,,,,,
08 Partita,German,Intermediate,Bach,"Partita V BWV 829, Tempo di Minuetta in G Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.84-85",,,,,,,1bINT6,,,,,,,,,,,,,5A,,,,,
08 Partita,German,Advanced,Bach,"Partita V BWV 829, Gigue in G Major","Bach Six Partitas,Henle #HN28, HL.51480028 p.86-89",,,,,,,,bADV,,,,,,,bADV,,,,,,,,,,
08 Partita,German,Senior,Bach,"Partita VI BWV 830, Air in E Minor","Bach Six Partitas,Henle #HN28, HL.51480028 p.98-99, p.104-105",,,,,,,1bSR5.2,,,,,,,,,,,,,,,,,,
06 French Suite,German,Intermediate,Bach,Bourree from Suite BWV 996 in E Minor,"Dances of J.S. Bach, Alfred AP600, p.26",,,13-3A,,,,,,,,4A,,,,,,,,,"4A
",,,,,
,German,Junior,Bach,"Suite Overture BWV 820 #2, Entree in F Major","Dances of J.S. Bach, Alfred AP600, p.27, 28 bars",,,,,,12bJR1,,,,,,,,,,,,,,,,,,,
,German,Junior,Bach,Trio in F Major from Suite Overture BWV 820 #3,"Dances of J.S. Bach, Alfred AP600, p.35,24 bars (Trio only)",,,,,,12bJR2,,,,,,,,,,,,,,,,,,,
,German,Junior,Bach,"Minuet in G Major, BWV 841","Dances of J.S. Bach, Alfred AP600, p.36, 24 bars",,,,,,12bJR3,,,,,,,,,,,,,,,,,,,
